"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os11g34290",6.9089248367005,1.25280584052976,0.864665809716507,1.4488902260869,0.147368241097487,0.314713470790389
"Os03g05620",3087.69603248568,-0.245087537771142,0.169162008606098,-1.44883322083176,0.14738416389614,0.314721539829306
"Os03g19900",5.61981180795747,-1.29340200652949,0.892863628666723,-1.44859972453002,0.147449398181468,0.314834897740195
"Os03g03830",2780.29062241358,-0.157252761172321,0.108563280502943,-1.44848940123966,0.147480228020825,0.314874782432006
"Os03g14370",412.093224633543,-0.246540887129146,0.170238371634283,-1.44820985282202,0.147558369876462,0.315015664828117
"Os03g17250",160.54480442861,-0.296458113528411,0.204719626214188,-1.44811769643543,0.147584137182406,0.315018772348411
"Os03g50380",173.156673193394,0.270870275455515,0.187046297960965,1.44814561105103,0.147576331777639,0.315018772348411
"Os03g55450",355.230860872208,-0.209106989370495,0.144414443574907,-1.44796451237256,0.147626975687591,0.315032367831351
"Os05g46760",278.576859970378,0.358783130201286,0.247781065220018,1.44798445306022,0.147621398660549,0.315032367831351
"Os10g08940",304.192645577257,-0.222819827609806,0.153879666368029,-1.44801345667656,0.147613287193995,0.315032367831351
"Os01g43020",2390.14677888421,0.161188691423819,0.111332592578141,1.44781225058318,0.147669565692695,0.315075277037783
"Os02g57780",728.304994251249,0.181322827608967,0.125249109052143,1.44769754436721,0.147701657017629,0.315075277037783
"Os03g12238",194.016720557578,-0.285992642854125,0.197545154175659,-1.4477330210784,0.147691731139135,0.315075277037783
"Os07g38370",259.973229582407,-0.253984703871953,0.175442528922669,-1.44768036251863,0.147706464437381,0.315075277037783
"Os11g47820",2341.77535645571,-0.198923284575576,0.137408769014065,-1.44767532671233,0.147707873460622,0.315075277037783
"Os02g48680",91.3887727555583,-0.354121547043423,0.244633470506998,-1.4475596749272,0.147740235763623,0.31511837117813
"Os02g13910",150.018976765365,0.281345684083238,0.194364552974172,1.44751540225869,0.147752625813333,0.315118862476547
"Os04g52140",2636.7776517451,0.173069261844789,0.119572919461545,1.44739513448485,0.1477862876912,0.31513175042868
"Os05g07080",32.33966905104,0.546086892575173,0.377297687323424,1.4473634769647,0.147795149323179,0.31513175042868
"Os07g43510",196.568687113883,0.283419512619699,0.195814012635846,1.44739137309225,0.147787340565965,0.31513175042868
"Os06g45000",1290.99719115073,-0.166391607656257,0.114989771530815,-1.4470122467516,0.147893493583705,0.315315498660774
"Os01g03330",379.985937867527,0.291490946860769,0.20148630701349,1.44670350646336,0.14797998197727,0.315376169266707
"Os05g41490",7.29544130105332,1.18019742975255,0.815789568614955,1.44669345522067,0.147982798313068,0.315376169266707
"Os07g39990",25.1723200389023,-0.674772041908805,0.466378526210957,-1.44683342818315,0.147943581886702,0.315376169266707
"Os08g27824",368.901333636208,0.22329137638473,0.154341263861014,1.4467380323243,0.147970308219924,0.315376169266707
"Os11g34870",36.7831697166718,0.5107016613781,0.353001243176804,1.44674182102614,0.147969246697766,0.315376169266707
"Os04g54140",95.4501094310127,0.350982863049926,0.242638546464717,1.44652557544464,0.148029843906667,0.315424882985873
"Os05g28730",489.48541215612,0.211388193183421,0.146135179146168,1.44652502168547,0.148029999107628,0.315424882985873
"Os12g05210",6.45018336589198,1.31010574967281,0.905864670481317,1.4462488629529,0.148107413048251,0.315563891239449
"Os04g49280",6.32878976360156,1.24323686994581,0.859665629393362,1.44618654909249,0.148124885399459,0.315575173062066
"Os08g42960",727.18250254067,0.201442201153804,0.139305039012807,1.44605107310787,0.148162877308975,0.315630165677113
"Os02g39280",271.741393047273,-0.240220215161972,0.166150837466575,-1.44579599371744,0.148234430138389,0.315756637928354
"Os08g30719",154.039552642876,-0.321877849201817,0.222686745438238,-1.44542886272093,0.148337461119477,0.315950136016376
"Os06g28840",253.771651169937,0.24391647590802,0.168769730809135,1.44526198352399,0.148384311874841,0.315997981940709
"Os08g02550",697.287456611537,-0.189135679207268,0.130862515539267,-1.44530065334497,0.148373454450914,0.315997981940709
"Os08g37760",7.53847183284439,-1.28776361288469,0.891117359494623,-1.44511112836475,0.148426673662601,0.31606222251161
"Os09g18010",13.0822066784173,0.9051093614284,0.626378604000015,1.44498767302783,0.148461348150902,0.316110084408071
"Os03g36534",105.119484520122,0.379756566527691,0.2628244847809,1.44490558725634,0.148484406731493,0.31613320739785
"Os03g02170",412.460718516132,-0.212972627839526,0.147444689322873,-1.4444238637389,0.148619782029615,0.316369447289098
"Os03g52970",277.139124063375,0.225683389452373,0.156241166296083,1.44445535579717,0.148610929164487,0.316369447289098
"Os04g25380",11.7279200631919,-0.940553453598856,0.651268231613309,-1.44418752204285,0.148686233891566,0.316484907704307
"Os10g37430",891.905636430854,-0.195831392489039,0.135604023325687,-1.4441414619292,0.148699187190108,0.316486484562388
"Os03g52910",14.4152059835858,-0.797492349266271,0.552330572919112,-1.44386783634203,0.148776155566333,0.316624297569313
